StudentID,firstname,Median wage public,Median wage Private
1,Charmaine,10057,13273
2,Clarice,10807,17875
3,Theodora,14678,12259
4,Monika,7192,16493
5,Priscilla,7435,17834
6,Belva,9865,13117
7,Regina,7603,17911
8,Consuela,9907,17931
9,Talya,11592,18690
10,Fayre,7054,17465
11,Ana,10971,17977
12,Marcelline,9464,16689
13,Fanchon,14035,18650
14,Gwenneth,7877,10978
15,Jinny,14812,15743
16,Delilah,11098,13852
17,Adelle,6164,20559
18,Kellen,11771,19955
19,Raina,11807,18286
20,Harmonia,9640,13970
21,Aigneis,8686,13722
22,Margarette,13247,16136
23,Corly,8373,10302
24,Charissa,14389,16325
25,Deedee,6262,17960
26,Ashlee,9954,18016
27,Sibella,8429,18857
28,Nerta,10005,18518
29,Judy,7418,16550
30,Annabela,6169,10637
31,Jaclyn,12551,18416
32,Alia,10238,12801
33,Bibby,7694,14218
34,Gabriellia,10108,20326
35,Elbertina,9953,16265
36,Florencia,8535,14042
37,Dania,9502,18433
38,Ayn,12670,13197
39,Edee,7483,20067
40,Hannis,13756,19083
41,Gerianna,11734,13024
42,Carlie,13412,19492
43,Calla,7638,10391
44,Janey,9071,19176
45,Korrie,9992,11310
46,Carolina,14618,14329
47,Jerry,11964,13144
48,Kirbee,14487,19444
49,Bettine,7264,14001
50,Ericka,13549,14925
51,Daune,14560,19763
52,Katuscha,10924,16371
53,Johna,12672,19670
54,Carolina,6034,19717
55,Ketti,12695,15382
56,Ninnetta,8643,21548
57,Christal,6991,16772
58,Linzy,8562,12281
59,Joelly,11853,15768
60,Sibella,8441,15275
61,Joelly,6758,18281
62,Antonietta,10698,21174
63,Devina,14292,15906
64,Evaleen,12078,18188
65,Kate,13752,20767
66,Zia,14067,19788
67,Dania,13726,13814
68,Arabel,14999,13690
69,Gabi,12226,21662
70,Hettie,11803,16165
71,Lily,7438,21164
72,Clarice,14393,16369
73,Lonnie,10310,10475
74,Alex,6509,18086
75,Loree,7090,10089
76,Kathi,6844,17143
77,Gaylene,8529,17342
78,Taffy,6579,21904
79,Ginnie,12100,14739
80,Ekaterina,6743,13289
81,Loree,7821,13752
82,Ermengarde,12932,18801
83,Hyacinthe,8867,14122
84,Tami,11690,15835
85,Elora,9824,12037
86,Mildrid,9769,21763
87,Frank,14416,17206
88,Eve,10054,13730
89,Penelopa,6384,16078
90,Kerrin,13983,12792
91,Meriel,14474,12444
92,Emelina,10864,17391
93,Fernande,9094,12107
94,Lonnie,12150,15536
95,Selma,6173,14210
96,Doralynne,11045,14327
97,Cyndie,6813,12343
98,Moyna,13155,13428
99,Ileana,7640,12726
100,Anestassia,11753,16226
101,Diena,13976,21243
102,Gilligan,11609,16334
103,Candi,9447,13783
104,Myrtice,10761,17094
105,Annaliese,7225,12395
106,Annabela,11238,12978
107,Priscilla,9640,20814
108,Sara-Ann,11510,12805
109,Ericka,13951,20023
110,Robinia,7888,19622
111,Zsa Zsa,11192,14975
112,Madelle,10909,11339
113,Janeczka,8459,11420
114,Kimberley,9182,12616
115,Minne,12420,13951
116,Marcy,6604,21235
117,Marline,7141,15059
118,Lucille,10048,20782
119,Esmeralda,11209,14156
120,Bee,10036,13428
121,Valera,14491,11189
122,Merci,7150,17866
123,Lita,8964,16544
124,Kial,11265,13738
125,Suzette,11980,18288
126,Cyb,6743,17378
127,Desirae,6311,21728
128,Korrie,13161,20027
129,Mallory,11105,10938
130,Wanda,13320,21737
131,Karlee,8017,16868
132,Meg,6247,20441
133,Katleen,8269,21181
134,Phedra,13149,10304
135,Dawn,12528,16916
136,Katleen,14565,11646
137,June,11244,21248
138,Sashenka,6211,16702
139,Therine,12460,16397
140,Mildrid,14207,10234
141,Fanny,13333,21951
142,Candy,13554,16639
143,Lorenza,10532,16671
144,Briney,8850,17827
145,Miquela,12164,11977
146,Kellen,9390,21871
147,Odessa,10613,15213
148,Janey,14404,16958
149,Vevay,11270,11480
150,Edyth,12784,17784
151,Dacia,9350,15418
152,Dacia,12869,18581
153,Marsiella,6550,15404
