StudentID,firstname,Median wage
1,Jinny,12427
2,Roseline,16598
3,Maisey,16113
4,Nonnah,11676
5,Dione,16226
6,Hope,20233
7,Mady,15158
8,Robbi,16450
9,Cathie,12740
10,Jenda,20515
11,Merle,11149
12,Lila,11382
13,Helena,19528
14,Brynna,20315
15,Mignon,13476
16,Nanete,16819
17,Ernesta,11591
18,Annabela,15487
19,Cyb,12855
20,Mildrid,10290
21,Chickie,13002
22,Charmaine,13752
23,Belinda,11014
24,Maryellen,15687
25,Arlina,15178
26,Joceline,14515
27,Gertrud,15186
28,Janey,15450
29,Winifred,14562
30,Kathi,12847
31,Olwen,10104
32,Rori,18610
33,Vinita,12006
34,June,12639
35,Moyna,14083
36,Ileana,14793
37,Inga,14143
38,Carmencita,21223
39,Jenda,12137
40,Peri,10901
41,Ivett,21137
42,Robinia,13631
43,Latisha,13557
44,Fina,14664
45,Evita,11040
46,Emmey,16925
47,Ezmeralda,11191
48,Blondelle,10426
49,Blake,11929
50,Lorne,10334
51,Rochette,21732
52,Fernande,18702
53,Sue,17091
54,Raquela,15863
55,Renie,13868
56,Shel,12555
57,Anestassia,15461
58,Mamie,13447
59,Theodora,19771
60,Moyna,19602
61,Natka,17433
62,Dorice,12859
63,Ariela,14248
64,Daryl,13000
65,Sam,14326
66,Hannis,20549
67,Nelle,20976
68,Ottilie,20402
69,Candi,12225
70,Dyann,18187
71,Shell,16837
72,Raquela,15167
73,Eadie,11952
74,Bertine,17814
75,Dawn,12499
76,Myriam,20307
77,Ottilie,15930
78,Florencia,20461
79,Aimil,18771
80,Joeann,19489
81,Tiffie,11782
82,Aaren,11259
83,Felice,17117
84,Margalo,11334
85,Jordan,20181
86,Anica,11254
87,Imojean,16163
88,Hollie,18233
89,Corina,17580
90,Shannah,18866
91,Valeda,14294
92,Collen,18551
93,Ardys,21503
94,June,12966
95,Darlleen,11580
96,Josephine,10308
97,Eolanda,16594
98,Angela,16354
99,Caressa,15675
100,Tressa,16343
101,Ofilia,18598
102,Jean,17801
103,Carly,12835
104,Jany,18735
105,Anallese,18409
106,Maud,11888
107,Maye,19802
108,Carmencita,19833
109,Bernardine,19226
110,Kate,16970
111,Mara,13794
112,Wileen,15348
113,Shel,15519
114,Beth,21437
115,Elka,17679
116,Violet,14296
117,Brandise,12684
118,Monika,18738
119,Dennie,15970
120,Wynne,11963
121,Abbie,12258
122,Peri,21231
123,Millie,21357
124,Marnia,17710
125,Jackie,16770
126,Brooks,10787
127,Latisha,18097
128,Carilyn,19885
129,Marcelline,11417
130,Edyth,19236
131,Joleen,20734
132,Karena,13547
133,Zia,16259
134,Myrtice,21800
135,Dolli,14623
136,Zia,14943
137,Marguerite,16740
138,Berta,10775
139,Zondra,13973
140,Annice,16520
141,Clo,10661
142,Vonny,19337
143,Cherilyn,12372
144,Lizzie,18957
145,Ida,14026
146,Rhoda,15511
147,Amara,12593
148,Jenda,14098
149,Gerianna,11373
150,Nessie,10919
151,Chere,20099
152,Sherrie,21050
153,Dacia,12780
154,Daune,10617
155,Randa,10112
156,Tonia,17774
157,Hyacinthe,11738
158,Wendi,13713
159,Emilia,19735
160,Elena,12963
161,Lorenza,10177
162,Mariele,15167
163,Kristina,10121
164,Brooks,17355
165,Ardeen,14561
166,Sean,19277
167,Andree,18947
168,Magdalena,15128
169,Arabel,14782
170,Alex,20480
171,Blondelle,10761
172,Lynnea,20777
173,Rayna,13763
174,Riannon,14630
175,Thalia,16797
176,Melina,20106
177,Cherrita,12378
178,Marline,14030
179,Louella,19609
180,Marjie,19442
181,Luci,19310
182,Zia,19267
183,Wilma,10354
184,Cristine,13249
185,Stevana,20853
186,Caritta,16389
187,Genovera,16637
188,Gertrud,13626
189,Jorry,16882
190,Adriana,13478
191,Judy,19546
192,Dari,15847
193,Sara-Ann,11252
194,Ellette,17340
195,Ana,11724
196,Kimberley,20000
197,Brena,21711
198,Zia,14859
199,Philis,17999
200,Lindie,17585
201,Merrie,16548
202,Hannis,21444
203,Dale,13166
204,Hayley,18099
205,Melina,12590
206,Elena,14487
207,Monika,19926
208,Sandie,18045
209,Micheline,19750
210,Claudina,18940
211,Lacie,21191
212,Jaime,13889
213,Danny,18141
214,Ricky,10298
215,Nicoli,15395
216,Etta,14180
217,Sam,13710
218,Fidelia,13180
219,Silvana,14661
220,Ruthe,10524
221,Sue,20366
222,Deirdre,14680
223,Elka,18793
224,Karly,12776
225,Selma,14066
226,Elbertina,19699
227,Alexine,20931
228,Merci,16783
229,Brana,18024
230,Averyl,11357
231,Briney,17724
232,Halette,12705
233,Ardenia,12290
234,Shandie,15106
235,Lynde,16856
236,Gertrud,10400
237,Therine,12023
238,Laure,19634
239,Nanete,19017
240,Dorene,19192
241,Sindee,15153
242,Shandie,11041
243,Nicoli,18802
244,Penelopa,15264
245,Mariann,12308
246,Johna,15493
247,Molli,19941
248,Robinia,12859
249,Netty,12523
250,Fernande,20951
251,Correy,10564
252,Kalina,12928
253,Marnia,10328
254,Dotty,18417
255,Fernande,13475
256,Netty,15142
257,Marti,12168
258,Kelly,17044
259,Elvira,21778
260,Lynea,15753
261,Stevana,20403
262,Brena,20454
263,Rozele,10094
264,Cordi,14518
265,Phylis,21348
266,Celisse,14285
267,Marjie,20052
268,Hettie,13893
269,Jere,10277
270,Ofilia,17449
271,Alexine,14206
272,Jasmina,10051
273,Pamella,19142
274,Lory,13694
275,Frank,14206
276,Kathi,16269
277,Minda,20940
278,Sherrie,17045
279,Tani,15421
280,Brynna,14354
281,Emma,12042
282,Vita,15345
283,Gilligan,16719
284,Tobe,12892
285,Alyda,21161
286,Mara,18487
287,Natka,18707
288,Shaylyn,19259
289,Sabina,17257
290,Addia,12132
291,Zsa Zsa,19941
292,Ellette,11396
293,Kaja,16514
294,Fawne,21265
295,Cecile,20940
296,Cyndie,15776
297,Carol-Jean,19355
298,Valera,17302
299,Ileana,12247
300,Dorthy,12458
301,Konstance,12856
302,Mariele,19767
303,Larine,16811
304,Ebonee,14421
305,Gusty,11770
306,Lucille,13397
307,Mary,15709
308,Marika,18908
309,Janey,18527
310,Nadine,14972
311,Mariele,10820
312,Tierney,13800
313,Jemie,21254
314,Orelia,13631
315,Penelopa,11709
316,Dawn,13675
317,Briney,12768
318,Roberta,18405
319,Kore,13142
320,Briney,10795
321,Jenilee,13749
322,Adriana,13022
323,Fredericka,14123
324,Regina,20408
325,Daune,15106
326,Annora,15834
327,Minne,18302
328,Jean,20335
329,Frank,16731
330,Sharlene,14050
331,Winifred,16192
332,Elena,17921
